index,name,description,brand,sku_id,price,in_stock,currency,color,breadcrumbs,avg_rating,total_reviews,overview,specifications
v0vwrit6x0lng4rnedvev4dk,4-Piece Bath Accessory Set with Wall Mounted Bar Set in Matte Black,"Our bathroom hardware set helps to make the most of the available space in your bathroom, in a convenient and practical way. Very elegant designed to increase the level of elegance in your bathroom. Created to offer everlasting beauty with its unique quality and look. If you need to accommodate a whole family's towels, you might want to check out other bathroom accessories from the Q7 series, like our towel ring, double towel bar, towel rails, toilet brushed holder, towel racks and robe hooks.",CASAINC,1005642527,105,FALSE,USD,Black,"Bath, Bathroom Accessories, Bathroom Decor, Bathroom Accessory Sets",3,1,"Premium material - constructed from SUS304(18/8) stainless steel which prevents rust and corrosion in your bathroom for long lasting durability, the 4-piece bathroom hardware set provides easy access and display of towels, robe and toilet paper for your bathroom, plus, the metal construction makes sure you get many years of use out of this bath hardware set, Premier finishing process - the delicate finish protects it from corrosion and rust in the damp environment and enhances durability, the brushed finish brings unsurpassed beauty to your kitchen or bathroom and resists spots and scratches to ensure flawless appearance for years, this feature means that you will spend less time and money on maintenance through everyday use, Modern and safe design - designed with clean lines and sturdy construction, the bathroom hardware accessory sets provide everyday efficiency with style, unique squared shape and concealed mounting hole add a touch of modern design to your bathroom, chamfering edges protect your body from scratching, Space-saving towel bar - the square hook is a handy place to store your robe or towel between showers, the toilet paper dispenser can offer excellent support to a roll with a maximum length of up to 4-3/4 in., the towel ring and towel bar are handy places to store your towels and washed clothes that keep your towels dry and within reach, Easy installation - come with all the mounting accessories needed, premium stainless steel screws and top quality anchors which are of good quality and the screws are concealed that gives it a more clean and attractive look, available in various finishes, you can mount it to any flat surface, bathroom wall, sheetrock walls or wood door, A periodic wash using warm water and a soft cloth will retain the high quality finish for many years to come, on no account should any household bleaches, detergents, abrasive polishes, steel wool or other cleaning agents be used on this item","[{'Included': 'Towel Bar/Rack'}, {'Bath Accessory Type': 'Bath Accessory Set'}, {'Number of Pieces': '4'}, {'Returnable': '90-Day'}, {'Color Family': 'Black'}, {'Color/Finish': 'Matte Black'}]"
a8co1dfu0o3mxo5bawyuxlgv,Satellite Orbit Two Collection Wall Mounted Soap Dish with Groovy Accents in Venetian Bronze,Complete your decor with this finely crafted soap dish. Keep your countertop clean and clutter free while adding the finishing touch to your space. Made of solid brass and provided with a lifetime finish to insure products will never rust.,Allied Brass,,45.9,TRUE,USD,Bronze,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",,,"Crafted of the finest solid brass materials, Concealed screw mounting hardware included, Available in a variety of lifetime designer finishes, Classic design will compliment your decor, Designer finish will provide corrosion free performance, Limited lifetime warranty","[{'Soap Dish Type': 'Vanity Soap Holder'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Soap Dish'}, {'Returnable': '90-Day'}, {'Color Family': 'Bronze'}, {'Color/Finish': 'Venetian Bronze'}, {'Product Length (in.)': '4.5 in'}, {'Product Width (in.)': '3.5 in'}]"
j04lq578ifptyk08rknkspim,Essentials Wall-Mounted Soap Dish with Holder in Brushed Nickel InfinityFinish,"Essentials accessories offer the luxury of creating an aesthetically cohesive bathing space. From robe hooks to towel bars and rings, each line includes the items you'll need to transform your bathroom into a relaxing and soothing sanctuary. The Essentials line of accessories complements any of our timeless or cosmopolitan faucet lines.",GROHE,,40.15,TRUE,USD,Nickel,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",5,2,"Coordinates well with matching GROHE InfinityFinish Essentials accessory set, Wall mount design increases your countertop space, Limited lifetime warranty, Quality material and finishing tested for durability and sustainability, Modern, timeless and with wide-ranging appeal, Precise craftsmanship","[{'Soap Dish Type': 'Standard Soap Holder'}, {'Style': 'Coastal,Industrial,Minimalist,Modern,Transitional'}, {'Included': 'No Additional Items Included'}, {'Material': 'Metal'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Soap Dish'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Color Family': 'Nickel'}, {'Color/Finish': 'Brushed Nickel'}, {'Product Length (in.)': '4.92 in'}, {'Product Width (in.)': '4.92 in'}]"
d6iz1yz4g8pc116om21wci5j,Vanity Top Soap Dish with Twisted Accents in Matte Black,Complete your kitchen decor with this finely crafted counter top Soap Dish. Keep your counter top clean and clutter free while adding the finishing touch to your space. Made of solid brass and provided with a lifetime finish to insure products will never rust.,Allied Brass,,31.76,TRUE,USD,Black,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",1,1,"Crafted of the finest solid brass materials, Available in a variety of lifetime designer finishes, Products are provided with a limited lifetime warranty, Designer finish will provide corrosion free performance, Classic design will compliment your decor, Easy installation instructions provided","[{'Soap Dish Type': 'Vanity Soap Holder'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Freestanding'}, {'Bath Accessory Type': 'Soap Dish'}, {'Returnable': '90-Day'}, {'Color Family': 'Black'}, {'Color/Finish': 'Matte Black'}, {'Product Length (in.)': '4.5 in'}, {'Product Width (in.)': '3.5 in'}]"
vt96rq4c44k7csh0dnsy8cqn,Vanity Top Soap Dish with Twisted Accents in Polished Nickel,Complete your kitchen decor with this finely crafted counter top Soap Dish. Keep your counter top clean and clutter free while adding the finishing touch to your space. Made of solid brass and provided with a lifetime finish to insure products will never rust.,Allied Brass,,46.2,TRUE,USD,Nickel,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",1,1,"Crafted of the finest solid brass materials, Available in a variety of lifetime designer finishes, Products are provided with a limited lifetime warranty, Designer finish will provide corrosion free performance, Classic design will compliment your decor, Easy installation instructions provided","[{'Soap Dish Type': 'Vanity Soap Holder'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Freestanding'}, {'Bath Accessory Type': 'Soap Dish'}, {'Returnable': '90-Day'}, {'Color Family': 'Nickel'}, {'Color/Finish': 'Polished Nickel'}, {'Product Length (in.)': '4.5 in'}, {'Product Width (in.)': '3.5 in'}]"
wu5k1ewbyru5agf638cgqwdx,Satellite Orbit Two Collection Wall Mounted Soap Dish in Polished Brass,Complete your decor with this finely crafted soap dish. Keep your countertop clean and clutter free while adding the finishing touch to your space. Made of solid brass and provided with a lifetime finish to insure products will never rust.,Allied Brass,,45.9,TRUE,USD,Brass,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",,,"Crafted of the finest solid brass materials, Concealed screw mounting hardware included, Available in a variety of lifetime designer finishes, Classic design will compliment your decor, Designer finish will provide corrosion free performance, Limited lifetime warranty","[{'Soap Dish Type': 'Vanity Soap Holder'}, {'Included': 'Mounting Hardware'}, {'Material': 'Brass'}, {'Mount Type': 'Wall Mounted'}, {'Bath Accessory Type': 'Soap Dish'}, {'Returnable': '90-Day'}, {'Color Family': 'Brass'}, {'Color/Finish': 'Polished Brass'}, {'Product Length (in.)': '4.5 in'}, {'Product Width (in.)': '3.5 in'}]"
i2tps6wrwhqnostt5qj54x87,Recessed Solid Surface Soap Dish in Bone,The Swanstone 15 in. W x 22 in. H Recessed Wall-Mount Solid Surface Soap Dish and Accessory Shelf in Bone will be a beautiful addition to your tub or shower. Designed with two compartments to hold soaps and toiletries all in one space. The recessed installation is easy and provides a smooth appearance when installed in either the back or side walls.,Swan,,148.26,FALSE,USD,Beige,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",3,2,"Recessed, wall-mounted design installs between studs for a neat, recessed appearance, Bone color will match your shower walls, Large size accommodates shampoo bottles and soap, Solid surface construction is easy to clean and built to last, Requires 100% clear silicone for installation (sold separately)","[{'Style': 'Classic,Transitional'}, {'Material': 'Solid Surface'}, {'Returnable': '90-Day'}, {'Color Family': 'Beige'}, {'Color/Finish': 'Bone'}, {'Product Width (in.)': '15'}]"
jcdvg6i5x5enyh8lkrut5c81,Atlantis Soap Dish in Natural,The Atlantis soap dish pattern is a series of overlapping semi circles in natural. Durable ceramic. Goes with any decor.,Creative Bath,1005770877,12.98,TRUE,USD,Bone,"Bath, Bathroom Accessories, Bathroom Decor, Soap Dishes",,,"Atlantis soap dish coordinates with the Atlantis shower curtain, rug and accessories sold elsewhere on this site, Soap dish 6 in. x 3.75 in. x 1 in., Ceramic, Easy to clean, Wash with warm soap water and soft cloth, Goes with most home decor","[{'Soap Dish Type': 'Standard Soap Holder'}, {'Included': 'No Additional Items Included'}, {'Material': 'Ceramic'}, {'Mount Type': 'Freestanding'}, {'Bath Accessory Type': 'Soap Dish'}, {'Returnable': '90-Day'}, {'Pack Size': '1'}, {'Color Family': 'Bone'}, {'Color/Finish': 'Natural'}, {'Product Length (in.)': '6 in'}, {'Product Width (in.)': '3.75'}]"
nfrizy57lkj873hxkc1sypzz,Taj Natural Marble Tissue Box Cover in Off-White Color,"Give your home a taste of charm, style and elegance with our genuine marble bath products. Great marble tissue box holder, boutique to match your traditional or contemporary home decor. Marble is easy to clean. Sure to impress your guests and family members with its winning formula and beauty. The marble tissue box holder is a must have for any guest or master bath.",Creative Home,1005519970,76.92,TRUE,USD,White,"Bath, Bathroom Accessories, Bathroom Decor, Tissue Box Covers",,,"Hand crafted and carved from genuine natural marble, last long time, Smooth finish shows all the patterns of the marble, Polished marble surface by hand, any color variation is its own uniqueness, Durable, heavy weight natural marble keeps tissue box holder sturdy and increases stability, Elegant design to match your contemporary modern home decor, Easy to clean, hands wash recommended","[{'Material': 'Marble'}, {'Bath Accessory Type': 'Tissue Box Cover'}, {'Returnable': '90-Day'}, {'Color Family': 'White'}, {'Color/Finish': 'Off-White'}, {'Product Height (in.)': '5.5 in'}, {'Product Depth (in.)': '5 in'}, {'Product Width (in.)': '5 in'}]"
r19bzhhy6s253uuz3xagxs0r,BACK BAY MOOSE TOOTHBRUSH HOLDER IN MULTI,Hautman Brothers Back Bay Moose toothbrush is a generously scaled bath accessory. It has weathered decals and realistic bark and resin antlers. This makes for a great cabin look with the most wanted pieces for the bath.,Unbranded,1006553337,,FALSE,USD,Multi-Colored,"Bath, Bathroom Accessories, Bathroom Decor, Toothbrush Holders",,,"The Back Bay Moose toothbrush holder coordinates with the Back Bay Moose shower curtain, rug and additional accessories found else where on this site., Durable Resin, Easy to clean, Wipe clean with soft damp cloth, Holds manual toothbrushes, Makes for a great rustic look for the bath","[{'Shape': 'Irregular'}, {'Included': 'No Additional Items Included'}, {'Material': 'Resin'}, {'Mount Type': 'Freestanding'}, {'Bath Accessory Type': 'Tumbler Holder/Toothbrush Holder'}, {'Number of Pieces': '1'}, {'Color Family': 'Multi-Colored'}, {'Color/Finish': 'Multi'}]"
